forecast_hour,feature,MAE,RMSE,R2
7,price_usd_per_kwh,0.0037337655392214453,0.005380728007963743,0.5068543270493302
8,pv_power_kw,0.033569325612155296,0.09337933922320711,0.7808230084269352
8,load_kw,0.05378519445084707,0.07103213436685445,0.695176868178168
8,ev_power_kw,3.51154265928083,4.9838028912071115,0.697891818507331
8,price_usd_per_kwh,0.0037319309742032754,0.005379159054000885,0.5068442619263283
9,pv_power_kw,0.03320526674687054,0.09200071562716067,0.7872450860182046
9,load_kw,0.05377562991085131,0.07103047609254641,0.6951216223952119
9,ev_power_kw,3.670642078772635,5.226797303881373,0.6675536381524318
9,price_usd_per_kwh,0.0037289358802389465,0.00537666822880722,0.5069165233764009
10,pv_power_kw,0.03297831090333086,0.09119420714835028,0.7909037654787968
10,load_kw,0.053736167760378296,0.07101074167780794,0.6952738649920485
10,ev_power_kw,4.063249784403933,5.770294604655835,0.59459300158838
10,price_usd_per_kwh,0.003727624410234198,0.005375724800956731,0.5069877187213053
11,pv_power_kw,0.03294887635813583,0.09109926402244561,0.7912824972636113
11,load_kw,0.05370142894640627,0.07098743680145206,0.695539599294276
11,ev_power_kw,3.6604762817806256,5.334732645847417,0.653418660451258
11,price_usd_per_kwh,0.0037268800464893724,0.005375183862457784,0.5069537535824626
12,pv_power_kw,0.03295584770076779,0.09109991447956757,0.7912795167286473
12,load_kw,0.05372727678745122,0.070996780577,0.695494967416183
12,ev_power_kw,3.9224862058493586,5.6459974381792275,0.6118065296976567
12,price_usd_per_kwh,0.0037264247660190072,0.005374922381932681,0.5066657717389524
13,pv_power_kw,0.03295817147972139,0.0910999527415805,0.7912146188671532
13,load_kw,0.05375219848804368,0.0710116709019221,0.695297730315749
13,ev_power_kw,3.7980937810063797,5.539829569729628,0.6263056294281345
13,price_usd_per_kwh,0.003726602186082769,0.0053750075022811145,0.5041131993651544
14,pv_power_kw,0.033005421665243916,0.0911157705907128,0.7910783136519968
14,load_kw,0.05379976020372026,0.07104447128961032,0.6948978353721804
14,ev_power_kw,3.7075138492845348,5.3610118827319,0.6500538960613738
14,price_usd_per_kwh,0.0037255500403051574,0.0053745247982520524,0.5024237075898008
15,pv_power_kw,0.033005421665243916,0.0911157705907128,0.7910262054695456
15,load_kw,0.05385485735604777,0.07108646396559322,0.6945574256440941
15,ev_power_kw,3.81816537079667,5.557680245913579,0.6239116002350558
15,price_usd_per_kwh,0.0037228139443154415,0.005372786852639163,0.500844429222139
16,pv_power_kw,0.03303175783729849,0.09112068415096436,0.7909780117699562
16,load_kw,0.053901745513435316,0.07112131707751652,0.6940607298628021
16,ev_power_kw,3.735807782473314,5.347560975547966,0.6517887330648702
16,price_usd_per_kwh,0.0037211200970469105,0.005371893498918012,0.49975716453985386
17,pv_power_kw,0.0331123155468857,0.09116664457017579,0.7907020525832347
17,load_kw,0.05387901287289237,0.07109772989301022,0.6941639501161322
17,ev_power_kw,3.456817192744691,5.041630521084345,0.6905485810103071
17,price_usd_per_kwh,0.0037204906519217765,0.005371451382621852,0.4990368343710089
18,pv_power_kw,0.0331123155468857,0.09116664457017579,0.7907020525832348
18,load_kw,0.05390620784807472,0.07111004786409017,0.6938325243094483
18,ev_power_kw,3.4699917676057397,5.0902415044284375,0.6844406282162201
18,price_usd_per_kwh,0.003722125651117622,0.005372977045989376,0.4986138582001397
19,pv_power_kw,0.0331123155468857,0.0911666445701758,0.7907020525832347
19,load_kw,0.05392456654763885,0.07113310221205,0.6935200721542198
19,ev_power_kw,3.5767422881610855,5.187174765123649,0.6722452944908488
19,price_usd_per_kwh,0.003723808080642626,0.005374060782803518,0.4983929171542084
20,pv_power_kw,0.0331123155468857,0.09116664457017579,0.7907020525832347
20,load_kw,0.05398272839983906,0.07117018889250551,0.6932649603102454
20,ev_power_kw,3.541505290250962,5.181128398331799,0.67303734578898
20,price_usd_per_kwh,0.0037257217159159237,0.005375127819014635,0.4981941306901866
21,pv_power_kw,0.0331123155468857,0.09116664457017579,0.7907020525832347
21,load_kw,0.05404188094936367,0.07122022201616446,0.692773000389444
21,ev_power_kw,3.6800992468332456,5.290678643150463,0.6590781254898193
21,price_usd_per_kwh,0.003726962950759058,0.00537577672735116,0.49809695668485965
22,pv_power_kw,0.0331123155468857,0.09116664457017579,0.7907020525832347
22,load_kw,0.05406661182395165,0.07125052905684003,0.6921281033716429
