test_episode,start_index,hour,grid_power_kw,grid_import_kw,grid_export_kw,load_kw,pv_kw,ev_kw,bess_kw,sharing_scheduled_kw,sharing_loss_kw,market_profit_usd,confidence
1,107,20,957.6382254713837,957.6382254713837,0.0,1384.2379910795507,1864.8000240325928,1438.1615601718993,0.0,1.9349126263179528,0.038698252526359056,-154.40833849409213,0.8412885069847107
1,107,21,904.384409285571,904.384409285571,0.0,1251.5107774004728,1696.8000173568726,1349.63295266943,0.0,2.034828627040852,0.040696572540817044,-142.66420446568574,0.8412885069847107
1,107,22,1556.6758660642588,1556.6758660642588,0.0,1714.0813796653683,1358.0000400543213,1200.5492185916205,0.0,2.265393079570188,0.045307861591403764,-284.62647472451954,0.8412885069847107
1,107,23,2215.4933945969615,2215.4933945969615,0.0,1999.9995213395769,884.8000407218933,1100.284518022264,0.0,0.4697978507071099,0.009395957014142198,-455.4725973299194,0.8412885069847107
1,107,24,2596.438078203302,2596.438078203302,0.0,1964.783279044531,208.37600468301775,840.0240720865628,0.0,0.33658776130263135,0.006731755226052627,-580.6378788903709,0.8412885069847107
2,110,1,389.85790836232405,389.85790836232405,0.0,1636.84348875598,0.0,194.10749843137336,1441.1089837551117,0.7952465041185519,0.015904930082371038,-10.106033455205107,0.8412885069847107
2,110,2,1132.4721928654662,1132.4721928654662,0.0,1757.4236341037317,0.0,46.11650300878882,671.1000218596325,1.6038806289180307,0.032077612578360615,-150.1230924874962,0.8412885069847107
2,110,3,1805.0505641998186,1805.0505641998186,0.0,1794.3531018181418,0.0,20.345777063033275,9.682727227205552,1.720627292461252,0.03441254584922504,-256.9722271056138,0.8412885069847107
2,110,4,1770.981727496674,1770.981727496674,0.0,1763.6221697889493,0.0,7.339822129575506,0.0,0.9867789074569089,0.019735578149138178,-241.2073497388713,0.8412885069847107
2,110,5,1947.5378570771536,1947.5378570771536,0.0,1940.1795091815623,0.0,7.339822129575506,0.0,0.9262883007925549,0.018525766015851097,-264.0661331354325,0.8412885069847107
2,110,6,2437.474588720883,2437.474588720883,0.0,2410.1026277568744,0.0,27.35519714028197,0.0,0.8381911863346581,0.01676382372669316,-348.157141211962,0.8412885069847107
2,110,7,2404.891746139688,2404.891746139688,0.0,2345.880552691541,0.0,58.99240233639846,0.0,0.9395555874438521,0.018791111748877043,-339.14783762554475,0.8412885069847107
2,110,8,2706.3877830640336,2706.3877830640336,0.0,2670.465135178604,0.0,35.90657098325127,0.0,0.8038451089111831,0.016076902178223662,-394.7238356678862,0.8412885069847107
2,110,9,2910.915811351243,2910.915811351243,0.0,2903.559043891997,0.0,7.339822129575506,0.0,0.8472664835204036,0.01694532967040807,-442.56102907153286,0.8412885069847107
2,110,10,2589.381120010198,2589.381120010198,0.0,2582.0201664878587,0.0,7.339822129575506,0.0,1.056569638180349,0.021131392763606982,-421.0843262104636,0.8412885069847107
