mode,test_episode,steps,total_return,coordinator_return,sum_local_return,mean_local_return,mg1_return,mg2_return,mg3_return,mg4_return,mg5_return,power_balance_violation_steps,transformer_violation_steps,start_index
full_fc_hmarl,11,24,-15555.575160447626,-6890.678235064413,-8664.896925383213,-1732.9793850766425,-1599.021571897691,-1823.69353612466,-1489.7130266545385,-1706.2030424447437,-2046.2657482615798,0,0,562
full_fc_hmarl,12,24,-16209.24787037991,-7217.464278387792,-8991.783591992118,-1798.3567183984237,-1656.1325230517182,-1894.810632449222,-1540.4629945902225,-1768.2507924177899,-2132.126649483165,0,0,566
full_fc_hmarl,13,24,-17646.814814686284,-7932.477941752691,-9714.336872933593,-1942.8673745867186,-1778.5212766782402,-2050.837704900947,-1654.7964268541732,-1905.8954179287623,-2324.286046571471,0,0,629
full_fc_hmarl,14,24,-18320.420692861833,-8272.834789976618,-10047.585902885216,-2009.517180577043,-1841.9846735508158,-2122.851909683946,-1709.1892675871964,-1970.4259219077942,-2403.1341301554635,0,0,644
full_fc_hmarl,15,24,-16998.699009859884,-7612.160307841324,-9386.53870201856,-1877.3077404037122,-1724.995194194172,-1980.3997466173137,-1605.4575624455708,-1841.120388312673,-2234.5658104488307,0,0,657
full_fc_hmarl,16,24,-16404.2392080315,-7314.743285549972,-9089.495922481532,-1817.8991844963064,-1671.846242986117,-1916.5769977616462,-1556.0228841021835,-1783.9939678141982,-2161.055829817388,0,0,691
full_fc_hmarl,17,24,-22681.638947608346,-10453.308417488513,-12228.330530119834,-2445.6661060239667,-2234.4010301503936,-2588.2175346538284,-2069.7284727988836,-2394.6219446584996,-2941.3615478582296,0,0,812
full_fc_hmarl,18,24,-22859.61018005184,-10542.282671929224,-12317.327508122617,-2463.4655016245233,-2250.6172481023746,-2606.9416049555184,-2085.083104895019,-2412.2802373509835,-2962.405312818721,0,0,813
full_fc_hmarl,19,24,-14920.196412068311,-6572.58452759962,-8347.611884468692,-1669.5223768937383,-1535.8397523445963,-1760.6004413473786,-1431.5106948560212,-1636.886053711914,-1982.774942208782,0,0,868
full_fc_hmarl,20,24,-13681.74702126372,-5953.699365619105,-7728.0476556446165,-1545.6095311289232,-1422.6970775393677,-1628.5861765731158,-1325.4477012592406,-1517.239358467139,-1834.0773418057536,0,0,898
full_fc_hmarl,21,24,-17221.248215994518,-7723.474951735525,-9497.77326425899,-1899.5546528517982,-1749.391137085313,-2000.7770181957862,-1631.2479890700185,-1867.2118140028997,-2249.145305904973,0,0,920
full_fc_hmarl,22,24,-17718.544937162875,-7971.634232614966,-9746.91070454791,-1949.3821409095822,-1789.3008425881503,-2057.4983444435547,-1663.5459248947477,-1911.0463922085414,-2325.519200412917,0,0,952
full_fc_hmarl,23,24,-17324.535927729357,-7774.681037768106,-9549.85488996125,-1909.97097799225,-1754.3550983682737,-2014.5699405142627,-1632.326501834343,-1873.3543366727438,-2275.249012571628,0,0,959
full_fc_hmarl,24,24,-22921.811161473095,-10573.165620024942,-12348.645541448152,-2469.7291082896304,-2275.0102796786605,-2601.86226289203,-2118.4066907453157,-2424.6560792610026,-2928.7102288711417,0,0,985
full_fc_hmarl,25,24,-23660.448169298557,-10942.466853646267,-12717.98131565229,-2543.5962631304583,-2340.2837074741874,-2680.1711987752838,-2182.0687154968014,-2497.8446006782106,-3017.613093227806,0,0,987
full_fc_hmarl,26,24,-16679.665875284554,-7441.280417431524,-9238.38545785303,-1847.677091570606,-1707.6324756390875,-1938.910658756724,-1600.3306792466747,-1822.5746158013797,-2168.937028409163,0,0,1041
full_fc_hmarl,27,24,-15184.838578339537,-6704.815234176457,-8480.023344163077,-1696.0046688326154,-1571.5772574685068,-1779.9616839055775,-1470.7564972711937,-1670.535252124082,-1987.192653393717,0,0,1055
full_fc_hmarl,28,24,-15380.830528852983,-6802.949341812084,-8577.881187040897,-1715.5762374081794,-1590.2811934274127,-1800.9992974814402,-1486.01617419869,-1690.7562841942497,-2009.8282377391047,0,0,1068
full_fc_hmarl,29,24,-12358.11776990282,-5292.559169165704,-7065.558600737114,-1413.1117201474228,-1314.7381243183163,-1480.7701511397213,-1229.5156950264975,-1393.8548466815103,-1646.6797835710686,0,0,1169
